من
جايي
زياد
مگه
بهتره
have
for
هستن
حمله
دوني
شهر
بهترين
بهتر
نگه
لطفا
نبود
نبايد
سعي
نجات
دنيا
اسم
بودن
ميتوني
نکن
ببين
ممکنه
كني
شه
ميدم
کنين
حرکت
کنار
مرده
ماه
ادامه
my
بد
ميگم
your
نگران
صبح
حالت
ميکنه
رئيس
طرف
اتفاقي
پشت
are
ميتونم
چيکار
اند
اندازه
شود
اولين
مبارزه
مال
هفته
ببينم
نقشه
یک
اینجا
خواد
انتخاب
بخاطر
دادم
پايين
جاي
زماني
ببخشيد
ازت
this
بري
دارد
باور
نشون
آقای
شدي
اشتباه
خون
دیگه
طور
باهاش
چطوري
هستيم
آروم
خداي
مهم
هستش
بذار
فردا
كردم
بزن
بابا
know
مطمئن
سرباز
ديدم
آيا
بره
do
بعضي
زير
be
جديد
بگير
he
احمق
آخرين
here
عقب
اتاق
can
منتظر
not
کارو
گذشته
برادر
باعث
there
اش
هيچي
نميتونم
ولی
دقيقه
خبر
گفتي
ماهي
عاليه
صداي
دارند
اتفاق
وارد
بريد
لحظه
yeah
افتاده
نزديک
عوض
غير
مراقب
راست
نیست
کنی
ميكنم
باشيد
فراموش
بلند
غذا
دار
رفته
پنج
خانواده
يالا
get
ماشين
هايي
گرفته
ممنونم
دادي
كرده
گم
بياد
ژنرال
استاد
برام
بشم
ديگر
آقا
کجاست
اعتماد
کرديم
منظورم
قدرت
تغيير
نباش
گفته
قول
ازدواج
ده
سريع
just
کافي
جمع
شماره
باشد
گرفتم
كسي
بکنم
دلار
دادن
بگي
ميده
يعني
com
موقع
كرد
come
ميرم
هيچوقت
بودند
جلوي
جوري
بزار
دروغ
بسيار
نشده
they
امشب
قبول
پايان
لازم
بگيري
عشق
out
اينا
كنه
نيستي
حق
کدوم
تازه
عالي
كنيم
ميتونه
but
عجله
بقيه
اومد
ميريم
زنگ
خواستم
کاملا
ميگه
شبيه
with
اصلا
نداري
پر
دوشیزه
بديم
ميخواد
آزاد
دکتر
شليک
قبلا
ديدي
تونيم
جواب
باشيم
تماس
now
رفت
ميان
احتياج
كردي
عنوان
يكي
نميشه
one
کردند
بسته
go
طول
اينجاست
نابود
خواست
داريد
اسلحه
حقيقت
خواب
لباس
so
بکني
متشکرم
ای
about
بشي
حس
چشم
صدا
کشته
بهتون
داخل
های
مطمئنم
شانس
آتش
همينطور
بهشون
اومده
نميدونم
سخت
was
سرورم
شکست
خواهم
براش
ترين
بزنم
right
انسان
پادشاه
ارتش
روش
میشه
چیزی
بعدش
موفق
كنيد
تفنگ
چهار
کارت
جور
خوشحالم
ميره
اينها
رد
oh
خانه
راجع
گروه
جوان
خوشحال
رفتن
موضوع
خواهي
قابل
يادت
باهات
دفعه
please
اميدوارم
اسکیپر
بيني
اومدم
hey
امپراتور
کنین
صورت
ديده
افتخار
برنامه
ميگي
will
مشکل
خودمون
مجبور
درک
ترجمه
اينکارو
کنیم
کتاب
واقعي
شوند
شدند
چنين
محافظت
ببر
واي
توجه
مدت
شان
کس
ات
کنید
نميتوني
کننده
فيل
ديوونه
ميكني
بگيرم
رفيق
خطر
چطوره
ميشي
بخير
يخ
okay
she
توسط
دارين
up
how
سياه
دستور
نميخوام
مشکلي
خورده
اومدي
مدرسه
خط
اينكه
نمياد
هستيد
شنيدم
كي
ست
همش
چيزيه
توئه
if
from
فيلم
هري
بتونم
هدف
درد
خسته
بگيره
خوبم
زندان
ملاقات
هزار
حيوانات
ممکن
چيزهايي
کامل
بوديم
ترک
كاري
بس
ميکنيم
هیچ
تريسي
نامه
افراد
زده
کمي
دوستت
شش
زد
ه
بديد
تيم
ی
جلو
بالاخره
انتظار
تحمل
نفس
اميد
پليس
تبديل
بيدار
ارباب
آينده
دم
قانون
بيش
پوست
واقع
رها
تکون
كجا
كردن
همین
ماست
افتاد
برابر
عاشق
مونده
روزي
آخر
برگرد
روشن
همينه
تيراندازي
him
شکار
دشمن
as
تحت
باقي
گرفتن
اينطوري
بدست
چيكار
ميكنه
خداحافظ
خارج
دي
دونه
بمون
ستاره
حلقه
gonna
مون
متوجه
ديگري
مواظب
حساب
بدونم
پدرم
خوشم
قسم
برايه
صفحه
علاقه
گرم
اينطور
راحت
بزني
let
yes
يکم
at
سفر
بيار
نداريم
قوي
قراره
باشن
مردي
لعنت
باشند
امتحان
شاه
کسی
یا
ببيني
ميدي
دير
رفتار
تصميم
جان
زدن
آنجا
شرط
کی
ساردين
جدا
when
بيشتري
بشين
ميام
زبان
شيطان
روح
ساله
بدن
ميري
توپ
ادوارد
time
خيال
ميشم
بعدي
استراحت
سرزمين
خفه
قديمي
قدم
going
her
بکنه
م
كمك
همیشه
دوتا
زنم
بدين
ار
تصور
پيداش
باشين
منظورت
مادرم
سفيد
اينجوري
پرواز
خرس
بیرون
برين
اندي
سري
گرفت
مسيح
وقته
اينقدر
نكن
who
شديم
نيروي
بگيريم
ديويد
طولاني
take
بياين
داشتي
راهي
ناراحت
دليل
رسيد
مراقبت
مايل
عمل
همديگه
اره
وقتی
یکی
بن
خدمت
بزنه
بيام
مادرت
جالب
بسه
کشتن
اعتقاد
ميتونيم
مقابل
نباشه
میاد
توی
نکنم
کيه
انگار
نداشتم
نکردم
خودتو
متأسفم
حرومزاده
دفاع
جون
پدرت
بیا
جنگل
ميگن
حاضر
دلم
حتما
دنياي
همراه
پا
خواهند
ثانيه
هفت
جهنم
بشيم
خودتون
دقيقا
دن
انجامش
چیز
میخوام
فرصت
هوا
طوري
پيشنهاد
لذت
بدوني
تمومش
شمشير
قرمز
کافيه
چیه
تورو
خراب
تونستم
ديوانه
ساحل
خوبيه
ازم
بنابراين
وقتشه
خورشيد
چيزايي
سوال
ll
گير
كتاب
بزرگي
کل
داستان
نکرده
نوشته
جشن
همچين
اينجام
مسابقه
back
did
اونم
make
want
سنگ
شم
جن
وودهاس
داریم
فوق
بيست
گفتن
دهد
قضيه
چکار
بينم
where
بياري
تسليم
ارزش
اهميت
ثابت
آوردم
تاريکي
تير
برنده
مخفي
گربه
بخش
اطلاعات
گلوله
فهميدم
تام
اقيانوس
داری
لينچ
think
نمايش
چيني
کمکم
گريه
احتمالا
براتون
تلفن
شون
زني
سياره
بهمون
تله
کردی
مارشال
سرد
مني
خوردن
کوچک
بشن
تون
رسيده
آورد
by
نداشته
دريا
مانند
like
need
نقش
موش
ميرسه
اطراف
سرم
تميز
آیا
شكست
اد
کوالسکی
paul
جدي
پرنده
پنهان
اسب
تلاش
نام
کمتر
حفظ
مرا
زدم
نداشت
کوچولو
خودمو
ممكنه
بکش
مطمئني
متوقف
باره
كنين
پیدا
جین
نقطه
خواهيم
گرفتي
اونوقت
کلي
دونستم
بياي
شي
هيچکس
سالم
حدس
نزن
کساني
همچنين
نو
هنوزم
بی
معذرت
e
ييپ
ميشن
بيارم
آشنا
همان
ديد
تنهايي
اکنون
حداقل
سرور
نميتونه
زنه
فهمي
نگو
us
were
got
بالاي
زنداني
اسمش
ميکردم
کنترل
صحنه
سگ
درون
موقعي
خواسته
مارو
پیش
غول
عکس
سيد
نيس
بموني
موجود
مزرعه
محل
جهان
داشتن
عجيب
تواند
خدايا
قسمت
خوشت
see
بکشي
آبي
شمال
نظرت
شاید
هنگ
العاده
سرعت
توانند
دستت
بخواي
رسه
داشتيم
زندگيم
خورد
هات
بيان
زودباش
خوشگل
man
قاتل
گرسنه
حد
اينکار
www
س
وايسا
سي
كم
رقص
بخور
میکنم
نسبت
طبقه
آغاز
برد
جز
مرغ
خواستي
فهمم
قايق
شخصي
توش
جريان
sir
down
بردار
اونجاست
صدمه
شکل
شرکت
زودي
شماها
قلب
بكن
بکنيم
نایتلی
سروان
افته
بکن
وضعيت
مسير
نشان
گزارش
خودشون
بمونم
توضيح
يادم
شام
هستين
then
money
didn
tell
well
حدود
حالش
بازم
تعداد
نشيني
اه
بدو
yahoo
مردن
بیشتر
امن
بلا
رفتم
احترام
تجربه
گذاشته
زيبا
منطقه
نور
مراسم
بزنيم
همسر
مسخره
ساده
تقريبا
همشون
his
little
an
نتيجه
ايم
فرستاده
قهرمان
فاصله
بيايد
زيرنويس
ازتون
فهميدي
اونه
عزيز
نفرين
درخت
زندگی
روی
جارد
نصف
روزنامه
آزادي
پخش
نوع
گل
ديشب
نا
more
why
some
two
بگيرش
دردسر
been
بکشه
فرد
فرمانده
همونطور
ترسم
توله
آقايون
اینو
وال
چیکار
شماست
بتونه
دوم
خوک
دهند
شرايط
پرت
بدتر
رسيدن
قهوه
them
بگه
دريايي
فرق
ساخته
برگردم
كجاست
بسیار
باغ
دلفين
پير
دعا
بزرگترين
حل
مقدس
گيري
ضربه
قصد
وگرنه
اس
or
سختي
کشتي
ولش
سطح
خبره
صلح
نميتونيم
هاست
ش
كنار
شاهزاده
واسيلي
آلمان
پنگوئن
love
گناه
اعتراف
دستم
ببينه
عصر
گي
بتونيم
دولت
دوره
our
nothing
اضافه
نخواهد
الآن
ناپديد
عبور
مثله
بکشم
خواهر
هام
نباید
عمو
عمق
ميکنن
سوزان
ويد
ریکو
هانيبال
خالي
برگشت
رنج
قوانين
آسيب
حالم
تونن
باري
آرزو
گيج
گردم
اومدن
تنگ
کوسه
شگفت
ديدن
درس
بمونه
عزیزم
ببخشید
دام
نوبت
ملکه
نيستش
دومينيك
هايه
اسميت
مورداک
زودتر
تقصير
حالي
دانم
چيزها
دليلي
آوردي
good
درجه
سرت
سيگار
سوار
خنده
ميخوايم
ميکنند
ميخواستم
فشار
چيزا
خودشه
ستوان
بوي
باشی
دسته
تواني
مثه
نینا
شوخي
هشت
مهمه
تمرين
واقعيت
ميکرد
سرنوشت
شک
بسياري
کلمه
آمده
ترس
ميزنم
عصباني
کاپيتان
too
رم
معامله
هاش
بتوني
قطار
دانشگاه
معني
ميدونه
دقت
نيرو
چپ
بشيد
نميکنم
جاده
دعوت
برف
باهم
بكنه
دخترم
اینکه
راکسي
الو
دايره
سولومون
look
way
ve
برخورد
دفتر
کوتاه
برده
فصل
بعدا
کارم
آمد
شخص
سخته
شنيدي
شوهر
خاموش
برن
تيکه
ديوار
چيزهاي
help
جادوگر
ابد
نبودم
جنوب
پسره
آي
نده
درخواست
مهموني
ول
جعبه
هریت
کاری
مونه
شکارچيان
مو
اژدها
only
سرش
پيروزي
ملحق
گرگ
غذاي
تخت
باد
gmail
اوضاع
باهام
فرو
دستش
کثيف
هوايي
اثر
سفينه
پسرم
ويژه
برگرديم
ماده
کله
انگليسي
كنن
التون
b
وظيفه
نيروهاي
طعمه
آلماني
انتقام
راننده
هی
دامبلدور
پانگ
هانکوک
number
کارش
نيمه
گذاشتم
دوستش
آنچه
برمي
بگيريد
راستش
نکنه
ديروز
هديه
نبوده
نکردي
هيولا
برسه
نوشيدني
معلومه
عجب
sorry
فراري
رودخانه
تونيد
ديدار
شن
سن
گوشت
شکسته
تمومه
وو
آر
محکم
قطع
دونيم
ترك
بكنم
بریم
دنبالم
ببينيد
بكني
ماهی
فيس
نشانه
پولي
موقعيت
مقدار
پنجره
دادند
داشتند
طبق
زمستان
فايده
مشغول
پاي
بهتري
روبرو
خودشو
دنبالش
اينجايي
would
حمايت
fine
امنيت
کمکت
قدر
سبز
ميز
نکنيد
لوک
برگشته
مکان
برگشتم
برگرديد
نيستن
خوار
اونارو
تشکر
بكنيم
شغل
تويه
نیستم
فرفکس
اعداد
گاز
كان
ملكه
آمريکا
wait
سو
fucking
توروب
leave
away
گذشت
خوره
زانو
يارو
بيفته
قلعه
دوستان
آموزش
تابستان
هواي
همينجا
پي
نيازي
ديگران
شکر
کليسا
خوردم
امکان
گونه
ميدن
حركت
طبيعت
آهنگ
چندتا
صد
پياده
بزرگتر
قتل
تره
کليد
ساکت
داديم
عمليات
چيزه
دربارش
مشت
چراغ
تعقيب
انقدر
اسمیت
امنه
ميليون
هشدار
برا
عوضي
برخى
هستی
قوی
ايوا
روزها
تونست
تعجب
ميخوان
ببند
شانسي
نيز
بميرم
دوران
آرامش
انرژي
پارک
بفهمم
مانده
جرات
آيد
درستش
ميرن
put
موردش
کوچيک
very
گن
اينم
پاريس
چنان
برخي
احمقانه
گمان
نبرد
رمز
ميشيم
بگيم
چيو
بررسي
ندارن
کردين
فرض
رفتي
نديده
خوبی
دستگير
شپش
say
دريافت
پرداخت
ا
رود
اداره
اطمينان
خاطره
بمب
نتونستم
ارتباط
داغ
ضعيف
وسط
موجودات
بكش
ترجيح
کشور
نيستيم
die
move
new
اوني
گه
تاريخ
ظاهر
اجرا
رشد
زيبايي
فعال
ميتونيد
نميدم
متنفرم
نخور
خيانت
شورشي
پاک
برگردي
خجالت
باورم
آشام
دختره
دقیقه
بزرگم
کره
ليز
خرسها
ميكنيم
هواپيما
بيدال
چطوری
ميخواهم
اسپنسر
nina
نمونه
بهار
شديد
کارهاي
حضور
ماند
بندي
ايمان
سالي
رسد
قشنگ
نگفتم
كردند
اشاره
سقوط
has
over
had
every
رسيديم
بپرسم
شنا
ايد
three
مقاومت
آشغال
بوجود
آورده
سايه
عادت
ندارد
دفن
ادم
اماده
منفجر
خانوم
ذره
فرا
شيم
بشنوم
وستون
تونیم
مرتبه
پله
مناطق
راز
بنداز
سوم
غربي
بطور
ميگفت
پرونده
ميخواهي
ويليام
عملیات
last
life
اخراج
گله
سريعتر
بزودي
بخوريم
تونستي
اونقدر
ايستاده
رابطه
آرام
زندگيت
نيستند
مياي
سالها
قادر
ايستگاه
any
much
بوسيله
بخوام
کرديد
should
ببري
دونستي
نشد
تکرار
مگر
تاريک
بهشت
پيام
ايشون
ماله
براشون
ميديم
خوان
تقديم
دوربين
ازشون
پرنس
بازی
کردیم
اینکارو
چرچیل
اینه
جادو
خانمها
ميزنه
پيروز
قايم
ولم
وسيله
سامورايي
جرج
doing
لعنتی
جوناس
پاتر
وارگاس
لوگ
still
everything
said
بخوري
معمولي
ايده
اصلي
اعلام
متولد
صاحب
موفقيت
افسانه
ندارند
نرو
كنند
نشه
عذر
کجايي
something
پروانه
could
work
عالمه
off
boat
خاص
بياريد
ببرم
دزد
تعريف
مرکز
قرباني
مادرش
بعنوان
گياه
نگهش
بيخيال
متاسفانه
نميکني
عرض
ببينيم
مرز
قطبي
كرديم
رانندگي
وي
حتی
سعی
باشید
بنظر
ورث
توانايي
بازش
همگي
وحش
چيزاي
کثافت
ان
دادگاه
متشكرم
فيليپ
مارک
call
fuck
اردويه
video
کانروی
hello
ميشد
نگهبان
پنجاه
بلکه
جهت
دهم
بياييد
لازمه
آخرش
کشه
برگرده
پاسخ
درگير
مناسب
غرق
همونجا
مردان
جناب
رنگ
اختيار
never
آوردن
گذاشتي
جزيره
شناخته
بزرگه
تحويل
ليست
ميبيني
home
درمان
احساسي
نظامي
زاده
خطرناک
هنر
هان
دخترت
چين
متفاوت
بخوره
اسمت
بخواد
دكتر
